# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.383936998609612, -0.10320847281061823, 1.1, 1.1
-0.7678753496826622, -0.20641169488089267, 1.1, 1.1
-1.151814018982386, -0.3096112573442502, 1.1, 1.1
-1.5357522109420796, -0.41280906956082436, 1.1, 1.1
-1.9196891299950265, -0.5160067226640551, 1.1, 1.1
-2.3036237419044885, -0.6192059669007194, 1.1, 1.1
-2.6875553306604, -0.7224086320742855, 1.1, 1.1
-3.0714830211393926, -0.8256163093181935, 1.1, 1.1
-3.455406017774737, -0.9288305102091988, 1.1, 1.1
-3.8393244796797763, -1.0320512347473079, 1.1, 1.1
-4.223238645524531, -1.1352782442625122, 1.1, 1.1
-4.607148594865655, -1.2385113796414555, 1.1, 1.1
-4.991054566373195, -1.3417504817708008, 1.1, 1.1
-5.374956798717146, -1.4449953119805332, 1.1, 1.1
-5.75885553056753, -1.5482455520439593, 1.1, 1.1
-6.142750921037678, -1.651501201961079, 1.1, 1.1
-6.5266431292409575, -1.754761863948541, 1.1, 1.1
-6.910532393847366, -1.8580274584496597, 1.1, 1.1
-7.294418953526939, -1.961297746794434, 1.1, 1.1
-7.67830296739299, -2.0645725698695068, 1.1, 1.1
-8.062184674115569, -2.1678516890048765, 1.1, 1.1
-8.446064232807995, -2.2711347859738362, 1.1, 1.1
-8.82994180258362, -2.3744218607764065, 1.1, 1.1
-9.213817781225814, -2.4777125951858805, 1.1, 1.1
-9.597692168734559, -2.5810067505322563, 1.1, 1.1
-9.98156520377988, -2.6843042472588556, 1.1, 1.1
-10.365437204588462, -2.787604767138985, 1.1, 1.1
-10.749308250716984, -2.8909081510593153, 1.1, 1.1
-11.133178580835468, -2.9942142399064884, 1.1, 1.1
-11.517048433613908, -3.097522715453825, 1.1, 1.1
-11.900917968165663, -3.200833498144647, 1.1, 1.1
-12.284787423160738, -3.3041462697522674, 1.1, 1.1
-12.66865703726917, -3.4074609507200213, 1.1, 1.1
-13.052526890047611, -3.5107772228212153, 1.1, 1.1
-13.436397220166082, -3.6140949269425, 1.1, 1.1
-13.820268345851282, -3.717413903970537, 1.1, 1.1
-14.204140346659866, -3.8207338356786416, 1.1, 1.1
-14.588013461261864, -3.9240546425101406, 1.1, 1.1
-14.971887928327275, -4.027376085795013, 1.1, 1.1
-15.35576382741279, -4.130697926863244, 1.1, 1.1
-15.739641556301772, -4.23402000660149, 1.1, 1.1
-16.123521194550875, -4.337342086339743, 1.1, 1.1
-16.507402980830108, -4.440663927407974, 1.1, 1.1
-16.89128707425285, -4.543985370692847, 1.1, 1.1
-17.275173713489085, -4.647306257081011, 1.1, 1.1
-17.659063057652162, -4.750626347902459, 1.1, 1.1
-18.042955424968785, -4.853945404487168, 1.1, 1.1
-18.42685089499561, -4.957263267721802, 1.1, 1.1
-18.81074970640267, -5.060579619379668, 1.1, 1.1
-19.19465209785997, -5.163894459460765, 1.1, 1.1
-19.578558228480837, -5.2672074697384, 1.1, 1.1
-19.962468336935316, -5.370518411542572, 1.1, 1.1
-20.346382582336737, -5.473827125759918, 1.1, 1.1
-20.73030120335512, -5.577133373720441, 1.1, 1.1
-21.114224359103808, -5.6804370758674505, 1.1, 1.1
-21.498152288252808, -5.783737834417602, 1.1, 1.1
-21.882085229472157, -5.887035649370888, 1.1, 1.1
-22.266023341875172, -5.99033012294395, 1.1, 1.1
-22.6499668641319, -6.093621175580118, 1.1, 1.1
-23.033915955355663, -6.196908568609368, 1.1, 1.1
-23.417870774659807, -6.300192142918365, 1.1, 1.1
-23.80183164027103, -6.403471580280422, 1.1, 1.1
-24.185797517952583, -6.506746562468837, 1.1, 1.1
-24.569763156964118, -6.61001565746353, 1.1, 1.1
-24.953722113215207, -6.713277353687727, 1.1, 1.1
-25.337668022172096, -6.816529980451313, 1.1, 1.1
-25.72159451930101, -6.919772105734195, 1.1, 1.1
-26.105495160511513, -7.0230020588462585, 1.1, 1.1
-26.4893637403832, -7.126218248654065, 1.1, 1.1
-26.873193735268973, -7.22941924313752, 1.1, 1.1
-27.256978780635052, -7.332603371606509, 1.1, 1.1
-27.64071259150436, -7.435769042927594, 1.1, 1.1
-28.0243886442298, -7.538914665967332, 1.1, 1.1
-28.408000733390935, -7.642038808705627, 1.1, 1.1
-28.79154241489736, -7.745139800452367, 1.1, 1.1
-29.17500939268876, -7.848217322980869, 1.1, 1.1
-29.55847652959351, -7.951318473840951, 1.1, 1.1
-29.94211956630006, -8.054550734096505, 1.1, 1.1
-30.326120767143983, -8.158025323974991, 1.1, 1.1
-30.710662476017525, -8.26185370237389, 1.1, 1.1
-31.095926877699572, -8.366147169077333, 1.1, 1.1
-31.48209623652569, -8.471017103426139, 1.1, 1.1
-31.869050581034482, -8.576336851198471, 1.1, 1.1
-32.25220171883802, -8.678462955486445, 1.1, 1.1
-32.62487206067143, -8.77238422107705, 1.1, 1.1
-32.99993594453883, -8.872591895776262, 1.1, 1.1
-33.396885789318524, -8.994200872141919, 1.1, 1.1
-33.801994329925826, -9.095399186520948, 1.1, 1.1
-34.19315706327043, -9.120088008544716, 1.1, 1.1
-34.55016524219926, -9.020283527059233, 1.1, 1.1
-34.866458066641975, -8.806431214872264, 1.1, 1.1
-35.14145349998617, -8.5145717559795, 1.1, 1.1
-35.374622808589685, -8.180804785870604, 1.1, 1.1
-35.570474548611806, -7.832287054091635, 1.1, 1.1
-35.74433809739808, -7.476964362815932, 1.1, 1.1
-35.912944541298174, -7.120294140629777, 1.1, 1.1
-36.08998295819422, -6.766799104780075, 1.1, 1.1
-36.277394451326494, -6.4173916907380635, 1.1, 1.1
-36.47428400813493, -6.072112790633152, 1.1, 1.1
-36.67975685472948, -5.731003296594757, 1.1, 1.1
-36.89291789899339, -5.394104180308963, 1.1, 1.1
-37.112872367036594, -5.061456254348504, 1.1, 1.1
-37.338724768959004, -4.733099058379374, 1.1, 1.1
-37.56950013774517, -4.408787000955076, 1.1, 1.1
-37.80404903859795, -4.087652277897383, 1.1, 1.1
-38.04119944262535, -3.7687452212125345, 1.1, 1.1
-38.27977892315199, -3.4511160037934525, 1.1, 1.1
-38.51861537172921, -3.133814878089733, 1.1, 1.1
-38.75653652079499, -2.815892096550947, 1.1, 1.1
-38.99238855993523, -2.4964124704976745, 1.1, 1.1
-39.22571507252263, -2.1749954803676945, 1.1, 1.1
-39.45695696163346, -1.8519738321633459, 1.1, 1.1
-39.68661416139457, -1.5277270907667706, 1.1, 1.1
-39.9151865263762, -1.202635059730125, 1.1, 1.1
-40.14317391114858, -0.8770773834922285, 1.1, 1.1
-40.37107624983858, -0.5514336269352162, 1.1, 1.1
-40.59930604379055, -0.22601740246014637, 1.1, 1.1
-40.82792646100209, 0.09912276036306099, 1.1, 1.1
-41.05691331624487, 0.4240044435589187, 1.1, 1.1
-41.286242424290634, 0.7486451495952746, 1.1, 1.1
-41.515889599911084, 1.0730624604966286, 1.1, 1.1
-41.74583065787791, 1.3972739582875062, 1.1, 1.1
-41.976041492519535, 1.721297224992421, 1.1, 1.1
-42.20649783905095, 2.0451497630792006, 1.1, 1.1
-42.4371755122439, 2.368849234129043, 1.1, 1.1
