# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.0440806;-0.8491629;3.4034118;0.0000525;8.0000000;0.0000000
0.1999592;-0.2372250;-0.9009210;3.4034229;0.0000585;8.0000000;0.0000000
0.3999183;-0.4303688;-0.9526814;3.4034352;0.0000644;8.0000000;0.0000000
0.5998775;-0.6235119;-1.0044443;3.4034487;0.0000702;8.0000000;0.0000000
0.7998367;-0.8166543;-1.0562099;3.4034633;0.0000759;8.0000000;0.0000000
0.9997958;-1.0097960;-1.1079784;3.4034790;0.0000816;8.0000000;0.0000000
1.1997550;-1.2029368;-1.1597500;3.4034959;0.0000870;8.0000000;0.0000000
1.3997142;-1.3960767;-1.2115250;3.4035138;0.0000925;8.0000000;0.0000000
1.5996733;-1.5892156;-1.2633036;3.4035329;0.0000978;8.0000000;0.0000000
1.7996325;-1.7823535;-1.3150860;3.4035529;0.0001029;8.0000000;0.0000000
1.9995916;-1.9754904;-1.3668723;3.4035740;0.0001081;8.0000000;0.0000000
2.1995508;-2.1686261;-1.4186628;3.4035961;0.0001130;8.0000000;0.0000000
2.3995100;-2.3617606;-1.4704577;3.4036192;0.0001179;8.0000000;0.0000000
2.5994691;-2.5548940;-1.5222571;3.4036432;0.0001226;8.0000000;0.0000000
2.7994283;-2.7480260;-1.5740613;3.4036682;0.0001271;8.0000000;0.0000000
2.9993875;-2.9411568;-1.6258704;3.4036941;0.0001316;8.0000000;0.0000000
3.1993466;-3.1342862;-1.6776845;3.4037208;0.0001358;8.0000000;0.0000000
3.3993058;-3.3274142;-1.7295039;3.4037484;0.0001400;8.0000000;0.0000000
3.5992650;-3.5205407;-1.7813287;3.4037768;0.0001440;8.0000000;0.0000000
3.7992241;-3.7136658;-1.8331591;3.4038059;0.0001478;8.0000000;0.0000000
3.9991833;-3.9067893;-1.8849951;3.4038359;0.0001515;8.0000000;0.0000000
4.1991425;-4.0999112;-1.9368370;3.4038665;0.0001549;8.0000000;0.0000000
4.3991016;-4.2930315;-1.9886849;3.4038978;0.0001583;8.0000000;0.0000000
4.5990608;-4.4861502;-2.0405389;3.4039298;0.0001615;8.0000000;0.0000000
4.7990200;-4.6792673;-2.0923992;3.4039624;0.0001645;8.0000000;0.0000000
4.9989791;-4.8723826;-2.1442658;3.4039956;0.0001674;8.0000000;0.0000000
5.1989383;-5.0654961;-2.1961388;3.4040293;0.0001700;8.0000000;0.0000000
5.3988975;-5.2586080;-2.2480185;3.4040636;0.0001725;8.0000000;0.0000000
5.5988566;-5.4517180;-2.2999048;3.4040983;0.0001748;8.0000000;0.0000000
5.7988158;-5.6448262;-2.3517978;3.4041335;0.0001769;8.0000000;0.0000000
5.9987749;-5.8379326;-2.4036977;3.4041691;0.0001790;8.0000000;0.0000000
6.1987341;-6.0310371;-2.4556044;3.4042050;0.0001807;8.0000000;0.0000000
6.3986933;-6.2241397;-2.5075182;3.4042413;0.0001823;8.0000000;0.0000000
6.5986524;-6.4172405;-2.5594390;3.4042780;0.0001837;8.0000000;0.0000000
6.7986116;-6.6103393;-2.6113669;3.4043148;0.0001850;8.0000000;0.0000000
6.9985708;-6.8034362;-2.6633019;3.4043519;0.0001861;8.0000000;0.0000000
7.1985299;-6.9965312;-2.7152441;3.4043892;0.0001869;8.0000000;0.0000000
7.3984891;-7.1896243;-2.7671936;3.4044267;0.0001876;8.0000000;0.0000000
7.5984483;-7.3827154;-2.8191502;3.4044642;0.0001882;8.0000000;0.0000000
7.7984074;-7.5758045;-2.8711142;3.4045019;0.0001885;8.0000000;0.0000000
7.9983666;-7.7688917;-2.9230854;3.4045396;0.0001887;8.0000000;0.0000000
8.1983258;-7.9619769;-2.9750639;3.4045773;0.0001886;8.0000000;0.0000000
8.3982849;-8.1550602;-3.0270497;3.4046150;0.0001885;8.0000000;0.0000000
8.5982441;-8.3481415;-3.0790427;3.4046527;0.0001881;8.0000000;0.0000000
8.7982033;-8.5412208;-3.1310431;3.4046903;0.0001875;8.0000000;0.0000000
8.9981624;-8.7342982;-3.1830506;3.4047277;0.0001869;8.0000000;0.0000000
9.1981216;-8.9273737;-3.2350654;3.4047650;0.0001859;8.0000000;0.0000000
9.3980808;-9.1204472;-3.2870874;3.4048021;0.0001849;8.0000000;0.0000000
9.5980399;-9.3135188;-3.3391165;3.4048389;0.0001837;8.0000000;0.0000000
9.7979991;-9.5065885;-3.3911526;3.4048755;0.0001823;8.0000000;0.0000000
9.9979582;-9.6996563;-3.4431959;3.4049118;0.0001809;8.0000000;0.0000000
10.1979174;-9.8927222;-3.4952461;3.4049478;0.0001791;8.0000000;0.0000000
10.3978766;-10.0857862;-3.5473032;3.4049835;0.0001773;8.0000000;0.0000000
10.5978357;-10.2788484;-3.5993672;3.4050187;0.0001753;8.0000000;0.0000000
10.7977949;-10.4719088;-3.6514379;3.4050535;0.0001731;8.0000000;0.0000000
10.9977541;-10.6649673;-3.7035153;3.4050879;0.0001709;8.0000000;0.0000000
11.1977132;-10.8580241;-3.7555993;3.4051218;0.0001683;8.0000000;0.0000000
11.3976724;-11.0510792;-3.8076898;3.4051552;0.0001658;8.0000000;0.0000000
11.5976316;-11.2441325;-3.8597867;3.4051881;0.0001630;8.0000000;0.0000000
11.7975907;-11.4371841;-3.9118899;3.4052204;0.0001601;8.0000000;0.0000000
11.9975499;-11.6302340;-3.9639993;3.4052522;0.0001572;8.0000000;0.0000000
12.1975091;-11.8232824;-4.0161147;3.4052833;0.0001539;8.0000000;0.0000000
12.3974682;-12.0163290;-4.0682361;3.4053137;0.0001507;8.0000000;0.0000000
12.5974274;-12.2093742;-4.1203633;3.4053435;0.0001473;8.0000000;0.0000000
12.7973866;-12.4024178;-4.1724962;3.4053726;0.0001437;8.0000000;0.0000000
12.9973457;-12.5954599;-4.2246346;3.4054010;0.0001401;8.0000000;0.0000000
13.1973049;-12.7885005;-4.2767785;3.4054286;0.0001362;8.0000000;0.0000000
13.3972641;-12.9815397;-4.3289276;3.4054554;0.0001324;8.0000000;0.0000000
